question,answer,hint
What do you call it when your enemy comes to town,Arrival.,Another word for an antagonist is?
Why is it okay to be addicted to brake fluid,You can stop at any time.,What does braking do?
What do you call an alligator in a vest,An investigator.,Detective.
What did one eye say to the other,"Just between you and me, something smells.",Double entendre on an expression; literally between the eyes.
What do you say to a Llama that loves picnicking,Alpaca lunch.,Animals llamas often confused with.
A photon checks into a hotel. The front desk asks if it has any luggage. What does the photon say,"No, I'm traveling light.",How heavy are photons anyway?
What condition did the glass blower get after accidentally inhaling,Stomach pane.,Pun on a regular symptom of health conditions.
What do you call a snail that isn't moving,An escarstay.,French delicacy.
Why are corduroy pillowcases famous these days,Because they're making headlines.,Marks corduroys would leave.
Why couldn't the pony sing in the choir,He was a little horse.,Pun on common singer's woes.
"What was the mood after the past, present, and future walk into a bar",Tense.,Past Perfect.
Why did the hipster burn his mouth on pizza,He ate it before it was cool.,The pizza was too hot so…
Why should you never believe an atom,They make up everything.,"Another way of saying ""they lie"""
Is it good to know sign language,"Yes, it' pretty handy.",Part of the body used for signs.
Why does Waldo always wear a striped shirt,He doesn't want to be spotted.,Different word for found.
What is a theatrical performance about puns called,A word play.,Theatrical performances are also?
Why did the can crusher quit her job,It was soda pressing.,"A can of pop combined with another term for ""crush"""
What do you call a broken can opener,A can't opener.,A silly joke on how the broken opener doesn't work.
Was it a good decision to become vegetarian,"No, it was a missed steak.",The ex-omnivore longs for a cut of meat.
Is it a good idea to tell a joke about a dead parrot,"No, it is way too macawbre.","It's not a good idea because of a type of ""dead parrot."""
How do trees feel in the Spring,Re-leaved.,A pun on a sensation of relaxation following anxiety.
Why do defense lawyers go out for Mexican food when they're feeling down,To get some case ideas.,A pun on a cheesy Mexican dish and what lawyers do.
How was the sale on paddles,Quite the oar deal.,Another word for paddle and an agreement.
What'll be the mood after the Devil goes bald,"Bad, there's gonna be hell toupee.",An expression using the Devil's lair and a type of wig.
Why is Peter Pan always flying,He Neverlands.,Peter Pan's location.
What do you call a dog magician,A Labracadabrador Retriever.,What magicians say during a spell; common breed.
How many ears does Captain Kirk have,"Three, the right, the left, and the final front ear.",What do Star Wars and the American West have in common?
What do you call a lawyer who can cook,A sue chef.,Cook who usually does all the chopping.
What do you call a WWI soldier who survived both pepper spray and mustard gas,A seasoned veteran.,What using pepper and mustard amounts to?
Why do Buddhist monks do not email Microsoft Office files,They're supposed to avoid attachments.,How do you email those files?
Why do teenage girls travel in odd-numbered groups,Because they just can't even.,Not really a pun and this isn't really a hint. Good luck.
Why was Bob surprised when Alice said she recognized him from a vegan meet-up group,He'd never met herbivore.,Vegans are the opposite of carnivores.
